Index,Model,BLEU_Score,ROUGE-L_Score,METEOR_Score
CPP_99,MetaLlama,0.4947,0.7467,0.8367
CPP_72,Gemma,0.425,0.52,0.6188
CPP_72,GPT4,0.439,0.5843,0.6304
CPP_72,GPT35,0.3484,0.4898,0.5967
CPP_72,MetaLlama,0.3919,0.5385,0.6216
CPP_66,Gemma,0.1696,0.3696,0.4745
CPP_66,GPT4,0.4551,0.7105,0.728
CPP_66,GPT35,0.1507,0.3778,0.4774
CPP_66,MetaLlama,0.4593,0.6835,0.7653
CPP_67,GPT4,0.24,0.4286,0.489
CPP_67,GPT35,0.1971,0.3396,0.4455
CPP_73,Gemma,0.3866,0.6098,0.7328
CPP_73,GPT4,0.3584,0.6053,0.7245
CPP_73,GPT35,0.334,0.5747,0.7937
CPP_73,MetaLlama,0.3914,0.6667,0.7454
CPP_98,Gemma,0.1652,0.3556,0.5433
CPP_98,GPT4,0.4549,0.6849,0.72
CPP_98,GPT35,0.1463,0.3636,0.5467
CPP_98,MetaLlama,0.4294,0.6842,0.7261
CPP_160,GPT4,0.4532,0.6575,0.7313
CPP_160,GPT35,0.2402,0.382,0.5621
CPP_148,GPT4,0.0832,0.2673,0.4276
CPP_158,GPT4,0.2479,0.4752,0.4491
CPP_158,GPT35,0.2285,0.3704,0.4483
CPP_88,GPT4,0.1299,0.2523,0.3791
CPP_77,Gemma,0.4468,0.6364,0.7388
CPP_77,GPT4,0.384,0.5682,0.6421
CPP_77,GPT35,0.1525,0.4286,0.4726
CPP_77,MetaLlama,0.3809,0.587,0.6876
CPP_63,Gemma,0.1667,0.3913,0.5178
CPP_63,GPT4,0.4708,0.6582,0.7809
CPP_63,GPT35,0.1477,0.4,0.5211
CPP_63,MetaLlama,0.3416,0.6,0.6893
CPP_62,Gemma,0.2484,0.4043,0.5992
CPP_62,GPT4,0.496,0.5854,0.6921
CPP_62,GPT35,0.2396,0.413,0.5494
CPP_62,MetaLlama,0.3969,0.6098,0.6668
CPP_76,Gemma,0.454,0.6667,0.7655
CPP_76,GPT4,0.4515,0.6374,0.6773
CPP_76,GPT35,0.3265,0.4842,0.5846
CPP_76,MetaLlama,0.4123,0.6667,0.7181
CPP_89,Gemma,0.2331,0.4118,0.4785
CPP_89,GPT4,0.1948,0.5333,0.6357
CPP_89,GPT35,0.1674,0.4337,0.56
CPP_159,Gemma,0.3361,0.4762,0.5684
CPP_159,GPT4,0.2132,0.4318,0.5169
CPP_159,GPT35,0.2148,0.4444,0.5357
CPP_159,MetaLlama,0.2087,0.4494,0.5342
CPP_48,GPT4,0.4744,0.75,0.7941
CPP_48,GPT35,0.2877,0.5393,0.6443
CPP_60,Gemma,0.4824,0.6154,0.7744
CPP_60,GPT4,0.5766,0.7761,0.8686
CPP_60,GPT35,0.1491,0.4096,0.53
CPP_60,MetaLlama,0.3407,0.6301,0.7888
CPP_74,Gemma,0.2844,0.3571,0.5215
CPP_74,GPT4,0.2659,0.5149,0.5365
CPP_74,GPT35,0.2126,0.4082,0.477
CPP_75,Gemma,0.4861,0.6667,0.739
CPP_75,GPT4,0.4735,0.7089,0.7481
CPP_75,GPT35,0.2898,0.5217,0.6346
CPP_75,MetaLlama,0.4529,0.7,0.7576
CPP_61,Gemma,0.3419,0.5581,0.6537
CPP_61,GPT4,0.3939,0.5316,0.6558
CPP_61,GPT35,0.2761,0.5714,0.696
CPP_61,MetaLlama,0.4072,0.5783,0.7328
CPP_49,Gemma,0.3526,0.4865,0.6279
CPP_49,GPT4,0.4307,0.6,0.7022
CPP_49,GPT35,0.2049,0.3864,0.594
CPP_49,MetaLlama,0.3675,0.5714,0.6778
CPP_129,GPT4,0.3202,0.5149,0.5539
CPP_129,GPT35,0.2502,0.3585,0.4325
CPP_101,GPT4,0.0685,0.2609,0.4395
CPP_115,Gemma,0.2513,0.3725,0.5715
CPP_115,GPT4,0.3415,0.5934,0.6151
CPP_115,GPT35,0.2397,0.38,0.5473
CPP_115,MetaLlama,0.4189,0.52,0.6667
CPP_9,Gemma,0.2371,0.4783,0.6547
CPP_9,GPT4,0.4137,0.5823,0.6849
CPP_9,GPT35,0.2294,0.4889,0.6132
CPP_9,MetaLlama,0.3962,0.6076,0.7203
CPP_12,Gemma,0.2547,0.4242,0.4716
CPP_12,GPT4,0.3324,0.6374,0.5322
CPP_12,GPT35,0.2558,0.433,0.4657
CPP_12,MetaLlama,0.338,0.6292,0.5379
CPP_13,Gemma,0.5114,0.6667,0.7332
CPP_13,GPT4,0.6001,0.7654,0.8543
CPP_13,GPT35,0.2066,0.3778,0.577
CPP_13,MetaLlama,0.4136,0.6197,0.6597
CPP_8,Gemma,0.2812,0.4565,0.5839
CPP_8,GPT4,0.3923,0.6667,0.7131
CPP_8,GPT35,0.2216,0.4667,0.5631
CPP_8,MetaLlama,0.5603,0.7952,0.8374
CPP_114,Gemma,0.5191,0.7045,0.7699
CPP_114,GPT4,0.5045,0.7179,0.8
CPP_114,GPT35,0.3742,0.6667,0.7059
CPP_114,MetaLlama,0.437,0.6667,0.726
CPP_100,Gemma,0.2452,0.36,0.5322
CPP_100,GPT4,0.2437,0.4691,0.4835
CPP_100,GPT35,0.1793,0.3673,0.4995
CPP_100,MetaLlama,0.3101,0.5055,0.5185
CPP_128,Gemma,0.3687,0.6279,0.7071
CPP_128,GPT4,0.4241,0.6506,0.7255
CPP_128,GPT35,0.3898,0.7089,0.7708
CPP_128,MetaLlama,0.387,0.6353,0.7466
CPP_116,GPT4,0.3799,0.5476,0.6634
CPP_116,GPT35,0.185,0.4043,0.5261
CPP_102,Gemma,0.2796,0.4,0.4108
CPP_102,GPT4,0.2368,0.4,0.3664
CPP_102,GPT35,0.2135,0.4,0.4667
CPP_102,MetaLlama,0.2756,0.4368,0.4217
CPP_11,Gemma,0.2282,0.3864,0.5932
CPP_11,GPT4,0.1664,0.4773,0.6504
CPP_11,GPT35,0.2219,0.3953,0.597
CPP_11,MetaLlama,0.1526,0.3622,0.5732
CPP_39,Gemma,0.4625,0.6154,0.7162
CPP_39,GPT4,0.4848,0.6234,0.7312
CPP_39,GPT35,0.1432,0.3409,0.5311
CPP_39,MetaLlama,0.4126,0.6197,0.7194
